starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 03 14:53:19 2020	1599124999	71	26	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	25	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	96	21
Thu Sep 03 14:53:19 2020	1599124999	71	25	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	25	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	71	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	97	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	21
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	98	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	99	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	99	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	99	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	99	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	99	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	99	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	99	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	99	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	99	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	99	22
Thu Sep 03 14:53:19 2020	1599124999	72	26	99	22
Thu Sep 03 14:53:19 2020	1599124999	73	26	99	22
Thu Sep 03 14:53:19 2020	1599124999	73	26	99	22
Thu Sep 03 14:53:19 2020	1599124999	73	26	99	22
Thu Sep 03 14:53:19 2020	1599124999	73	26	99	22
Thu Sep 03 14:53:19 2020	1599124999	59	52	110	37
Thu Sep 03 14:53:19 2020	1599124999	59	52	111	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	112	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	112	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	112	48
Thu Sep 03 14:53:19 2020	1599124999	59	53	113	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	113	48
Thu Sep 03 14:53:19 2020	1599124999	59	54	113	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	113	48
Thu Sep 03 14:53:19 2020	1599124999	59	54	113	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	113	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	113	48
Thu Sep 03 14:53:19 2020	1599124999	59	54	113	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	113	48
Thu Sep 03 14:53:19 2020	1599124999	59	54	113	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	113	49
Thu Sep 03 14:53:19 2020	1599124999	59	54	113	48
Thu Sep 03 14:53:19 2020	1599124999	58	54	113	49
Thu Sep 03 14:53:19 2020	1599124999	59	54	113	49
Thu Sep 03 14:53:19 2020	1599124999	59	54	113	49
Thu Sep 03 14:53:19 2020	1599124999	59	54	113	49
Thu Sep 03 14:53:19 2020	1599124999	59	54	113	49
Thu Sep 03 14:53:19 2020	1599124999	59	54	113	49
Thu Sep 03 14:53:19 2020	1599124999	60	54	113	49
Thu Sep 03 14:53:19 2020	1599124999	59	54	113	49
Thu Sep 03 14:53:19 2020	1599124999	59	54	113	49
Thu Sep 03 14:53:19 2020	1599124999	60	54	113	49
Thu Sep 03 14:53:19 2020	1599124999	59	54	113	49
Thu Sep 03 14:53:19 2020	1599124999	60	54	113	49
Thu Sep 03 14:53:19 2020	1599124999	59	54	113	49
Thu Sep 03 14:53:19 2020	1599124999	60	54	113	49
Thu Sep 03 14:53:19 2020	1599124999	59	54	113	49
